t,x_m,theta,v_m_s,thetadot,u_pwm
1764425658.8839097,0.1841015625,0.15,0.343203125,0.919,44
1764425658.8939214,0.187578125,0.15,0.3475390625,0.92,47
1764425658.9039218,0.19089843750000002,0.17,0.334921875,1.074,25
1764425658.913898,0.1924609375,0.17,0.3237109375,0.844,38
1764425658.923897,0.1968359375,0.18,0.2836328125,0.834,24
1764425658.9344885,0.19796875,0.18,0.255078125,0.724,24
1764425658.9444864,0.2012890625,0.19,0.21839843750000001,0.627,17
1764425658.954487,0.2030078125,0.2,0.18156250000000002,0.54,10
1764425658.9649112,0.2044921875,0.2,0.154765625,0.365,14
1764425658.9754846,0.2054296875,0.2,0.10507812500000001,0.321,5
1764425658.9855008,0.2061328125,0.21,0.0790234375,0.234,0
1764425658.9959135,0.2064453125,0.21,0.0707421875,0.27,-3
1764425659.0059123,0.206796875,0.21,0.020546875,0.034,-2
1764425659.0159097,0.2067578125,0.21,0.0032031250000000002,0.008,-5
1764425659.0254931,0.2067578125,0.21,0.0016015625000000001,0.004,-5
1764425659.0354908,0.206796875,0.21,0.001171875,-0.038,-3
1764425659.045504,0.206796875,0.21,0.0003125,-0.009,-5
1764425659.0549147,0.206796875,0.21,7.8125e-05,-0.002,-5
1764425659.0649157,0.206796875,0.2,0.0,-0.077,-13
1764425659.0749164,0.206796875,0.2,0.0,-0.019,-16
1764425659.0849295,0.20671875,0.2,-0.0078125,-0.005,-33
1764425659.094913,0.2066015625,0.2,-0.015625,-0.156,-27
1764425659.1049185,0.205859375,0.2,-0.0546875,-0.096,-39
1764425659.1149282,0.20527343750000002,0.2,-0.0859375,-0.201,-41
1764425659.12549,0.2030859375,0.19,-0.1474609375,-0.485,-37
1764425659.1354806,0.2021484375,0.19,-0.1675,-0.396,-45
1764425659.1454797,0.19875,0.18,-0.222109375,-0.625,-43
1764425659.1554813,0.1975390625,0.17,-0.2321484375,-0.773,-35
1764425659.1654804,0.19359375,0.16,-0.262421875,-0.71,-42
1764425659.1758986,0.19089843750000002,0.15,-0.2667578125,-0.868,-33
1764425659.1859012,0.18828125,0.15,-0.26394531250000003,-0.831,-35
1764425659.1958988,0.1855859375,0.14,-0.2671484375,-0.821,-33
1764425659.205901,0.183203125,0.13,-0.24453125,-0.666,-33
1764425659.21548,0.1820703125,0.13,-0.23554687500000002,-0.64,-33
1764425659.225477,0.17984375,0.12,-0.2248828125,-0.62,-29
1764425659.2354767,0.176640625,0.12,-0.213671875,-0.614,-27
1764425659.245478,0.17453125,0.11,-0.2096484375,-0.614,-24
1764425659.2554774,0.1726171875,0.1,-0.195,-0.614,-17
1764425659.2655087,0.1717578125,0.1,-0.1834375,-0.614,-15
1764425659.2754776,0.1694140625,0.09,-0.154765625,-0.422,-16
1764425659.2855258,0.1683203125,0.09,-0.11875000000000001,-0.336,-12
1764425659.2954943,0.1674609375,0.09,-0.094140625,-0.237,-12
1764425659.3054929,0.166796875,0.08,-0.0704296875,-0.289,1
